location,population,total_vaccinations,people_vaccinated,people_fully_vaccinated
China,1425887360.0,3491077000.0,1310292000.0,1276760000.0
India,1417173120.0,2206740986.0,1027417033.0,951984635.0
United States,338289856.0,676728782.0,270227181.0,230637348.0
Brazil,215313504.0,486436436.0,189643431.0,176164186.0
Indonesia,275501344.0,447595845.0,203845350.0,174893201.0
Japan,123951696.0,383747738.0,104705133.0,103380343.0
Bangladesh,171186368.0,361650805.0,151502751.0,142176056.0
Pakistan,235824864.0,339967103.0,165567890.0,140475871.0
Vietnam,98186856.0,266492149.0,90272853.0,85961564.0
Mexico,127504120.0,223158993.0,97179493.0,81849962.0
Germany,83369840.0,192221468.0,64876299.0,63563414.0
Philippines,115559008.0,189317158.0,82684774.0,78443972.0
Russia,144713312.0,186700479.0,88819982.0,
Iran,88550568.0,155445801.0,65194977.0,58582625.0
France,67813000.0,154493266.0,54677678.0,53192478.0
Turkey,85341248.0,152543341.0,57941051.0,53176961.0
United Kingdom,67508936.0,151248820.0,53806963.0,50745901.0
Italy,59037472.0,144590687.0,50920629.0,47954802.0
Thailand,71697024.0,142635014.0,57005497.0,53486086.0
South Korea,51815808.0,129647782.0,44764957.0,44347430.0
Nigeria,218541216.0,128382195.0,90416598.0,77884872.0
Argentina,45510324.0,116102483.0,41505296.0,34894605.0
Egypt,110990096.0,112673535.0,56907319.0,42337175.0
Spain,47558632.0,105840320.0,41351234.0,40739123.0
Canada,38454328.0,96956502.0,34763194.0,31762130.0
Colombia,51874028.0,90506612.0,43012174.0,37019801.0
Peru,34049588.0,90182494.0,30515103.0,28682916.0
Myanmar,54179312.0,89454913.0,40354937.0,35196377.0
Uzbekistan,34627648.0,79381802.0,22077238.0,18318860.0
Malaysia,33938216.0,72509172.0,28089294.0,27503827.0
Ethiopia,123379928.0,68856793.0,52489512.0,43653006.0
Saudi Arabia,36408824.0,68534631.0,27041364.0,25433941.0
Australia,26177410.0,65492360.0,22231907.0,21648824.0
Chile,19603736.0,62688847.0,18088517.0,17700117.0
Nepal,30547586.0,62086946.0,27804935.0,24389063.0
Poland,39857144.0,58025255.0,22877095.0,22649000.0
Morocco,37457976.0,55389602.0,25020168.0,23521989.0
Cambodia,16767851.0,47477240.0,15304762.0,14679108.0
Cuba,11212198.0,45619084.0,10768523.0,10031799.0
Sri Lanka,21832150.0,40116590.0,17143761.0,14752827.0
Netherlands,17564020.0,39816526.0,12596446.0,11782254.0
Ecuador,18001002.0,39564195.0,15333873.0,14240587.0
Tanzania,65497752.0,39392419.0,34434933.0,32165791.0
South Africa,59893884.0,38882146.0,24210953.0,21038797.0
Venezuela,28301700.0,37860994.0,22157232.0,
Mozambique,32969520.0,34950858.0,22869646.0,21329745.0
Ukraine,39701744.0,31668577.0,15774300.0,15153577.0
Belgium,11655923.0,29635655.0,9266465.0,9168764.0
Portugal,10270857.0,28196689.0,9791341.0,8906354.0
Rwanda,13776702.0,27322059.0,10884714.0,10399665.0
Angola,35588996.0,26953525.0,16307216.0,9369882.0
Uganda,47249588.0,26406936.0,20033189.0,13061126.0
Sweden,10549349.0,26231029.0,,
Ghana,33475870.0,25624828.0,13864186.0,10780003.0
Cote d'Ivoire,28160548.0,25263932.0,13568372.0,12164304.0
United Arab Emirates,9441138.0,24922054.0,9991089.0,9792266.0
Kenya,54027484.0,23750431.0,14494372.0,11090440.0
Sudan,46874200.0,22598737.0,15207452.0,13416394.0
Greece,10384972.0,22127272.0,7936070.0,7646401.0
Belarus,9534956.0,21997703.0,6439812.0,6355081.0
Afghanistan,41128772.0,21258362.0,17921323.0,17148725.0
Kazakhstan,19397998.0,20918681.0,9394344.0,9010266.0
Austria,8939617.0,20468731.0,6899873.0,6683263.0
Guatemala,17843914.0,20362104.0,8933623.0,7126305.0
Iraq,44496124.0,19557364.0,11332925.0,7944775.0
Tajikistan,9952789.0,18871161.0,5311967.0,5170582.0
Democratic Republic of Congo,99010216.0,18808671.0,17045721.0,14399520.0
Israel,9449000.0,18649248.0,6723119.0,6159825.0
Czechia,10493990.0,18626291.0,6976657.0,6893368.0
Switzerland,8740471.0,16940716.0,6096911.0,
Honduras,10432858.0,16901540.0,,
Romania,19659270.0,16827486.0,,8114769.0
Hungary,9967304.0,16701238.0,6420354.0,6206710.0
Dominican Republic,11228821.0,16381373.0,7352139.0,6114473.0
Nicaragua,6948395.0,15498213.0,6404524.0,6117158.0
Algeria,44903228.0,15267442.0,7840131.0,6481186.0
Denmark,5882259.0,14973928.0,4752101.0,4716840.0
Singapore,5637022.0,14727569.0,5137637.0,5093804.0
Bolivia,12224114.0,14690530.0,7361008.0,6160585.0
Azerbaijan,10358078.0,13857111.0,5373253.0,4862494.0
Zambia,20017670.0,13454213.0,,9213802.0
Costa Rica,5180836.0,13371989.0,4641899.0,4358863.0
Tunisia,12356116.0,13253317.0,7218871.0,6401841.0
Finland,5540745.0,13215666.0,,
Zimbabwe,16320539.0,12222754.0,6437808.0,4751270.0
Norway,5434324.0,12145560.0,4346995.0,4054726.0
New Zealand,5185289.0,12052315.0,4301605.0,4182631.0
El Salvador,6336393.0,11289175.0,4652597.0,4344286.0
Ireland,5023108.0,11125603.0,4108868.0,4063175.0
Laos,7529477.0,11111066.0,5888649.0,5222417.0
Guinea,13859349.0,10645240.0,7679918.0,4725982.0
Somalia,17597508.0,10555834.0,8972167.0,7666835.0
Jordan,11285875.0,10057975.0,4821579.0,4558313.0
Paraguay,6780745.0,9745545.0,3993938.0,3546685.0
Sierra Leone,8605723.0,9155936.0,5676123.0,4961886.0
Uruguay,3422796.0,9031344.0,3010161.0,2902771.0
Panama,4408582.0,8893001.0,3533477.0,3174155.0
Chad,17723312.0,8562003.0,,
Serbia,6871547.0,8534688.0,3354075.0,3278198.0
Malawi,20405318.0,8359717.0,5368688.0,4223762.0
Kuwait,4268886.0,8260972.0,3457388.0,3346057.0
Burkina Faso,22673764.0,7893609.0,6089089.0,5232347.0
Qatar,2695131.0,7609178.0,2852178.0,2852178.0
Niger,26207982.0,7372208.0,6248483.0,5483001.0
Oman,4576300.0,7086050.0,3257365.0,3048826.0
Mali,22593598.0,5922585.0,4354292.0,3633589.0
Lebanon,5489744.0,5814699.0,2740227.0,2414223.0
Slovakia,5643455.0,5754313.0,2595901.0,2577827.0
Mongolia,3398373.0,5492919.0,,
Croatia,4030361.0,5362233.0,2321704.0,2251702.0
Syria,22125242.0,5090630.0,3295630.0,2358365.0
Cameroon,27914542.0,4797450.0,3701750.0,3148312.0
Bulgaria,6781955.0,4613628.0,,2077824.0
Lithuania,2750058.0,4546211.0,1957181.0,1880556.0
Liberia,5302690.0,4460668.0,3903802.0,3730967.0
South Sudan,10913172.0,4312900.0,4262480.0,4220606.0
Benin,13352864.0,4232541.0,3697190.0,2742837.0
Mauritania,4736146.0,4075704.0,2103721.0,1540533.0
Palestine,5250076.0,3748571.0,2012767.0,1776973.0
Libya,6812344.0,3739158.0,2316327.0,1236102.0
Kyrgyzstan,6630621.0,3655058.0,1734235.0,1405377.0
Bahrain,1472237.0,3476633.0,1241174.0,1226796.0
Togo,8848700.0,3407277.0,2248264.0,1554066.0
Central African Republic,5579148.0,3182417.0,2600389.0,2484985.0
Botswana,2630300.0,3171667.0,1951054.0,1663490.0
Senegal,17316452.0,3093244.0,2684696.0,1503332.0
Madagascar,29611718.0,3092063.0,2710365.0,2628849.0
Albania,2842318.0,3080679.0,1348396.0,1277987.0
Slovenia,2119843.0,2996643.0,,
Georgia,3744385.0,2930677.0,1654504.0,1276173.0
Latvia,1850654.0,2895716.0,1346184.0,1305976.0
Mauritius,1299478.0,2616012.0,1123773.0,1088142.0
Moldova,3272993.0,2288948.0,1108879.0,1078505.0
Armenia,2780472.0,2158796.0,1122646.0,996804.0
Estonia,1326064.0,2113078.0,869403.0,861754.0
Timor,1341298.0,2019384.0,884194.0,799627.0
Bhutan,782457.0,2011426.0,699116.0,677669.0
Bosnia and Herzegovina,3233530.0,1924950.0,943394.0,846080.0
North Macedonia,2093606.0,1862987.0,854570.0,838181.0
Kosovo,1782115.0,1837446.0,906858.0,825082.0
Cyprus,896007.0,1798610.0,671193.0,646142.0
Trinidad and Tobago,1531043.0,1580898.0,753588.0,716898.0
Fiji,929769.0,1555182.0,712025.0,641194.0
Jamaica,2827382.0,1528168.0,859614.0,759963.0
Gambia,2705995.0,1444492.0,674314.0,539186.0
Malta,533293.0,1380977.0,478808.0,471536.0
Luxembourg,647601.0,1374547.0,481957.0,
Lesotho,2305826.0,1339097.0,1014073.0,938088.0
Brunei,449002.0,1293100.0,451149.0,446714.0
Yemen,33696612.0,1282460.0,1037766.0,794265.0
Namibia,2567024.0,1002734.0,627107.0,548500.0
Guyana,808727.0,960133.0,495285.0,381984.0
Maldives,523798.0,951764.0,399308.0,385167.0
Eswatini,1201680.0,870205.0,526050.0,427335.0
Cape Verde,593162.0,859940.0,356734.0,308720.0
Comoros,836783.0,835021.0,438825.0,397080.0
Congo,5970430.0,833210.0,695760.0,654119.0
Guinea-Bissau,2105580.0,825234.0,733271.0,533741.0
Iceland,372903.0,805469.0,309770.0,290193.0
Papua New Guinea,10142625.0,737695.0,382020.0,321192.0
Montenegro,627082.0,679171.0,292783.0,284869.0
Haiti,11585003.0,664150.0,521396.0,350403.0
Solomon Islands,724272.0,625956.0,343821.0,254352.0
Gabon,2388997.0,572672.0,311244.0,257471.0
Belize,405285.0,510717.0,258473.0,221401.0
Suriname,618046.0,505699.0,267820.0,237879.0
French Polynesia,306292.0,502952.0,190908.0,186803.0
Equatorial Guinea,1674916.0,488738.0,270109.0,214032.0
New Caledonia,289959.0,480702.0,192375.0,184816.0
Samoa,222390.0,453083.0,191403.0,177954.0
Djibouti,1120851.0,392703.0,372077.0,351712.0
Barbados,281646.0,381721.0,163846.0,155036.0
Vanuatu,326744.0,366638.0,176624.0,162250.0
Bahamas,409989.0,366359.0,174810.0,166972.0
Jersey,110796.0,266953.0,84365.0,81882.0
Sao Tome and Principe,227393.0,263863.0,140256.0,111986.0
Curacao,191173.0,260324.0,,100885.0
Seychelles,107135.0,224558.0,88520.0,83565.0
Kiribati,131237.0,219980.0,100900.0,81474.0
Tonga,106867.0,203208.0,87342.0,77360.0
Isle of Man,84534.0,189994.0,69560.0,67106.0
Guernsey,63329.0,178525.0,54223.0,52710.0
Aruba,106459.0,174812.0,,84338.0
Andorra,79843.0,157059.0,57912.0,53500.0
Cayman Islands,68722.0,151822.0,62085.0,60664.0
Antigua and Barbuda,93772.0,136512.0,64290.0,62384.0
Gibraltar,32677.0,132810.0,42175.0,41465.0
Bermuda,64207.0,132042.0,48554.0,47657.0
Saint Lucia,179872.0,122977.0,60140.0,54971.0
Faeroe Islands,53117.0,103894.0,41715.0,40895.0
Grenada,125459.0,90686.0,44241.0,39034.0
Greenland,56494.0,79738.0,41227.0,38511.0
Liechtenstein,39355.0,74337.0,26771.0,
Turks and Caicos Islands,45726.0,73907.0,32815.0,30710.0
Saint Vincent and the Grenadines,103959.0,73443.0,37532.0,31632.0
San Marino,33690.0,69338.0,26357.0,23633.0
Dominica,72758.0,67647.0,32995.0,30659.0
Sint Maarten (Dutch part),44192.0,66829.0,29788.0,26773.0
Monaco,36491.0,65140.0,28875.0,25667.0
Saint Kitts and Nevis,47681.0,64297.0,,27000.0
British Virgin Islands,31332.0,41453.0,19466.0,18261.0
Burundi,12889583.0,41316.0,36909.0,36321.0
Cook Islands,17032.0,40854.0,15112.0,14728.0
Bonaire Sint Eustatius and Saba,27052.0,35845.0,19109.0,16736.0
Nauru,12691.0,32157.0,13106.0,11346.0
Anguilla,15877.0,24604.0,10854.0,10380.0
Wallis and Futuna,11596.0,18058.0,7150.0,6803.0
Montserrat,4413.0,4619.0,2104.0,1952.0
